date,pm25,o3,no2,so2,co,aqi
6/11/2016,87,0,0,0,0,0
6/12/2016,70,0,0,0,0,0
6/13/2016,94,0,0,0,0,0
6/14/2016,100,0,0,0,0,0
6/15/2016,101,0,0,0,0,0
6/16/2016,80,0,0,0,0,0
6/17/2016,109,0,0,0,0,0
6/18/2016,104,0,0,0,0,0
6/19/2016,122,0,0,0,0,0
6/20/2016,109,0,0,0,0,0
6/21/2016,89,20,4,13,24,0
6/22/2016,88,33,5,13,28,0
6/23/2016,83,22,7,13,26,0
6/24/2016,78,23,9,13,26,0
6/25/2016,84,21,9,12,18,0
6/26/2016,95,24,7,12,26,0
6/27/2016,68,22,7,13,25,0
6/28/2016,91,8,3,13,27,0
6/29/2016,78,8,2,13,36,0
6/30/2016,0,8,2,12,17,0
7/1/2016,0,8,2,12,16,0
7/2/2016,0,8,3,13,17,0
7/3/2016,0,0,0,0,0,0
7/4/2016,0,0,0,0,0,0
7/5/2016,64,0,0,0,0,0
7/6/2016,29,0,0,0,0,0
7/7/2016,80,8,5,13,38,0
7/8/2016,130,8,2,13,24,0
7/9/2016,80,0,0,0,0,0
7/10/2016,89,0,0,0,0,0
7/11/2016,86,0,0,0,0,0
7/12/2016,79,0,0,0,0,0
7/13/2016,121,8,5,0,0,0
7/14/2016,81,9,9,13,29,0
7/15/2016,106,9,11,13,20,0
7/16/2016,71,8,6,13,14,0
7/17/2016,63,0,0,0,0,0
7/18/2016,74,0,0,0,0,0
7/19/2016,70,0,0,0,0,0
7/20/2016,62,0,0,0,0,0
7/21/2016,68,0,0,0,0,0
7/22/2016,82,0,0,0,0,0
7/23/2016,67,0,0,0,0,0
7/24/2016,89,0,0,0,0,0
7/25/2016,69,0,0,0,0,0
7/26/2016,89,8,25,15,13,0
7/27/2016,85,8,15,13,10,0
7/28/2016,29,0,0,0,0,0
7/29/2016,42,0,0,0,0,0
7/30/2016,77,0,0,0,0,0
7/31/2016,102,0,0,0,0,0
8/1/2016,125,0,0,0,0,0
8/2/2016,108,0,0,0,0,0
8/3/2016,75,0,0,0,0,0
8/4/2016,47,0,0,0,0,0
8/5/2016,62,0,0,0,0,0
8/6/2016,97,0,0,0,0,0
8/7/2016,84,0,0,0,0,0
8/8/2016,63,9,15,13,14,0
8/9/2016,68,9,13,14,16,0
8/10/2016,100,9,8,14,15,0
8/11/2016,105,9,10,13,18,0
8/12/2016,92,9,9,12,14,0
8/13/2016,104,9,7,12,13,0
8/14/2016,60,9,9,12,18,0
8/15/2016,66,10,8,12,11,0
8/16/2016,79,0,0,0,0,0
8/17/2016,87,9,8,12,21,0
8/18/2016,68,10,8,12,16,0
8/19/2016,28,0,0,0,0,0
8/20/2016,45,9,8,13,19,0
8/21/2016,61,0,0,0,0,0
8/22/2016,91,9,8,13,25,0
8/23/2016,97,9,9,13,21,0
8/24/2016,112,9,9,13,17,0
8/25/2016,126,9,9,13,17,0
8/26/2016,145,9,10,13,16,0
8/27/2016,90,9,8,13,11,0
8/28/2016,63,9,7,13,14,0
8/29/2016,119,9,12,13,22,0
8/30/2016,161,10,18,13,26,0
8/31/2016,125,10,15,13,24,0
9/1/2016,69,9,11,13,19,0
9/2/2016,52,10,7,13,10,0
9/3/2016,79,10,10,13,15,0
9/4/2016,136,13,11,13,17,0
9/5/2016,161,13,12,13,19,0
9/6/2016,121,18,9,13,21,0
9/7/2016,102,10,10,13,21,0
9/8/2016,133,13,11,14,26,0
9/9/2016,106,11,14,14,26,0
9/10/2016,69,9,2,13,9,0
9/11/2016,81,0,0,0,0,0
9/12/2016,99,0,0,0,0,0
9/13/2016,105,0,0,0,0,0
9/14/2016,128,7,17,13,31,0
9/15/2016,134,7,8,12,17,0
9/16/2016,158,0,0,0,0,0
9/17/2016,162,0,0,0,0,0
9/18/2016,157,0,0,0,0,0
9/19/2016,150,0,0,0,0,0
9/20/2016,147,0,0,0,0,0
9/21/2016,153,0,0,0,0,0
9/22/2016,163,0,0,0,0,0
9/23/2016,165,0,0,0,0,0
9/24/2016,115,0,0,0,0,0
9/25/2016,106,0,0,0,0,0
9/26/2016,73,0,0,0,0,0
9/27/2016,110,0,0,0,0,0
9/28/2016,148,0,0,0,0,0
9/29/2016,132,0,0,0,0,0
9/30/2016,97,0,0,0,0,0
10/1/2016,107,0,0,0,0,0
10/2/2016,119,0,0,0,0,0
10/3/2016,149,0,0,0,0,0
10/4/2016,167,10,0,11,54,0
10/5/2016,182,4,11,13,44,0
10/6/2016,153,6,11,13,34,0
10/7/2016,174,0,0,0,0,0
10/8/2016,188,0,0,0,0,0
10/9/2016,170,0,0,0,0,0
10/10/2016,151,4,16,14,44,0
10/11/2016,163,7,12,13,29,0
10/12/2016,163,1,7,12,44,0
10/13/2016,158,1,3,13,22,0
10/14/2016,150,0,0,0,0,0
10/15/2016,136,0,0,0,0,0
10/16/2016,131,0,0,0,0,0
10/17/2016,150,2,25,13,18,0
10/18/2016,123,1,41,13,32,0
10/19/2016,89,3,71,15,58,0
10/20/2016,99,0,0,0,0,0
10/21/2016,124,0,0,0,0,0
10/22/2016,160,5,49,14,53,0
10/23/2016,147,0,0,0,0,0
10/24/2016,144,3,32,13,13,0
10/25/2016,91,11,31,13,41,0
10/26/2016,103,4,30,13,37,0
10/27/2016,76,9,44,14,47,0
10/28/2016,79,3,45,14,36,0
10/29/2016,96,1,34,13,20,0
10/30/2016,84,1,33,13,27,0
10/31/2016,78,1,30,14,23,0
11/1/2016,70,1,32,16,27,0
11/2/2016,85,1,52,14,47,0
11/3/2016,95,1,45,15,35,0
11/4/2016,149,2,63,14,49,0
11/5/2016,152,2,56,15,53,0
11/6/2016,161,2,48,15,64,0
11/7/2016,178,21,17,9,32,0
11/8/2016,121,17,5,8,19,0
11/9/2016,46,17,6,8,22,0
11/10/2016,64,27,13,10,35,0
11/11/2016,113,49,13,12,57,0
11/12/2016,178,41,9,9,41,0
11/13/2016,175,19,5,8,39,0
11/14/2016,117,24,6,9,47,0
11/15/2016,98,24,6,10,53,0
11/16/2016,96,28,9,15,54,0
11/17/2016,101,31,7,12,57,0
11/18/2016,123,51,13,12,49,0
11/19/2016,147,40,9,12,36,0
11/20/2016,137,40,13,12,59,0
11/21/2016,123,32,7,12,57,0
11/22/2016,105,32,8,12,46,0
11/23/2016,0,24,5,11,24,0
11/24/2016,0,22,8,13,29,0
11/25/2016,112,19,5,11,19,0
11/26/2016,63,34,14,14,27,0
11/27/2016,108,40,19,21,37,0
11/28/2016,157,22,16,17,43,0
11/29/2016,154,28,13,15,24,0
11/30/2016,134,35,13,13,31,0
12/1/2016,117,0,0,0,0,0
12/2/2016,156,0,0,0,0,0
12/3/2016,187,44,17,14,102,0
12/4/2016,197,66,12,22,56,0
12/5/2016,204,25,10,18,35,0
12/6/2016,150,46,15,23,54,0
12/7/2016,161,41,15,18,76,0
12/8/2016,173,74,25,25,58,0
12/9/2016,195,39,24,27,58,0
12/10/2016,193,54,20,18,45,0
12/11/2016,201,28,9,12,44,0
12/12/2016,149,28,8,14,50,0
12/13/2016,130,17,7,14,31,0
12/14/2016,128,18,6,10,25,0
12/15/2016,86,20,10,14,38,0
12/16/2016,144,24,16,21,52,0
12/17/2016,163,33,15,27,56,0
12/18/2016,187,48,5,19,76,0
12/19/2016,226,18,1,10,44,0
12/20/2016,109,18,3,13,52,0
12/21/2016,109,16,4,13,30,0
12/22/2016,91,23,11,18,50,0
12/23/2016,155,18,6,14,53,0
12/24/2016,145,15,3,11,37,0
12/25/2016,106,12,4,12,48,0
12/26/2016,94,11,7,12,25,0
12/27/2016,83,23,11,16,49,0
12/28/2016,142,26,13,23,52,0
12/29/2016,157,26,15,22,60,0
12/30/2016,168,36,17,22,58,0
12/31/2016,202,0,0,0,0,0
1/1/2017,0,23,7,12,71,0
1/2/2017,169,36,11,17,70,0
1/3/2017,184,21,9,19,67,0
1/4/2017,155,9,6,12,28,0
1/5/2017,108,14,8,13,48,0
1/6/2017,115,21,9,13,41,0
1/7/2017,145,16,8,14,44,0
1/8/2017,142,12,4,13,54,0
1/9/2017,132,18,0,12,86,0
1/10/2017,151,9,5,10,40,0
1/11/2017,98,2,5,9,21,0
1/12/2017,22,0,0,0,0,0
1/13/2017,54,0,0,0,0,0
1/14/2017,100,0,0,0,0,0
1/15/2017,83,0,0,0,0,0
1/16/2017,120,0,0,10,17,0
1/17/2017,98,21,14,11,36,0
1/18/2017,144,23,5,14,71,0
1/19/2017,199,9,6,14,40,0
1/20/2017,108,11,7,13,28,0
1/21/2017,139,8,7,15,23,0
1/22/2017,151,0,0,0,0,0
1/23/2017,187,19,21,17,71,0
1/24/2017,192,24,15,15,52,0
1/25/2017,186,19,16,14,48,0
1/26/2017,167,15,11,13,33,0
1/27/2017,155,14,6,10,17,0
1/28/2017,116,5,7,11,21,0
1/29/2017,89,7,8,13,20,0
1/30/2017,108,10,10,12,34,0
1/31/2017,151,6,7,14,35,0
2/1/2017,125,4,8,14,40,0
2/2/2017,129,5,7,15,41,0
2/3/2017,121,10,8,11,24,0
2/4/2017,91,6,7,12,30,0
2/5/2017,113,5,8,13,37,0
2/6/2017,93,4,7,12,28,0
2/7/2017,80,5,7,14,38,0
2/8/2017,99,2,9,13,29,0
2/9/2017,73,5,12,15,18,0
2/10/2017,140,10,13,15,0,0
2/11/2017,165,12,15,16,0,0
2/12/2017,163,16,22,23,0,0
2/13/2017,175,11,14,15,0,0
2/14/2017,192,12,17,20,0,0
2/15/2017,207,3,12,13,0,0
2/16/2017,107,0,0,0,0,0
2/17/2017,85,0,0,0,0,0
2/18/2017,102,0,0,0,0,0
2/19/2017,112,3,7,12,0,0
2/20/2017,71,7,5,12,0,0
2/21/2017,81,12,4,12,0,0
2/22/2017,85,2,5,13,0,0
2/23/2017,89,0,9,13,0,0
2/24/2017,109,1,10,12,0,0
2/25/2017,111,3,10,14,0,0
2/26/2017,142,4,15,15,0,0
2/27/2017,151,8,13,25,0,0
2/28/2017,166,17,11,14,0,0
3/1/2017,179,21,12,16,0,0
3/2/2017,164,5,16,17,0,0
3/3/2017,161,5,11,13,0,0
3/4/2017,150,7,8,13,0,0
3/5/2017,130,1,6,17,0,0
3/6/2017,115,3,6,13,0,0
3/7/2017,140,0,0,0,0,0
3/8/2017,68,0,0,0,0,0
3/9/2017,139,0,12,12,0,0
3/10/2017,129,0,5,12,0,0
3/11/2017,170,0,4,11,0,0
3/12/2017,104,0,4,11,0,0
3/13/2017,108,0,0,0,0,0
3/14/2017,112,16,1,12,0,0
3/15/2017,104,22,2,17,0,0
3/16/2017,108,18,3,13,0,0
3/17/2017,100,18,4,11,0,0
3/18/2017,109,17,4,11,0,0
3/19/2017,79,16,4,11,0,0
3/20/2017,75,13,5,11,0,0
3/21/2017,55,12,4,11,0,0
3/22/2017,68,11,4,11,0,0
3/23/2017,60,13,3,11,0,0
3/24/2017,61,12,7,13,0,0
3/25/2017,66,9,8,13,0,0
3/26/2017,70,9,10,15,0,0
3/27/2017,106,20,14,17,0,0
3/28/2017,161,20,9,13,0,0
3/29/2017,147,12,24,15,0,0
3/30/2017,120,10,19,13,0,0
3/31/2017,85,13,23,14,0,0
4/1/2017,98,14,34,16,0,0
4/2/2017,136,15,35,16,0,0
4/3/2017,142,10,19,12,0,0
4/4/2017,88,13,17,12,0,0
4/5/2017,86,14,14,12,0,0
4/6/2017,89,24,11,12,0,0
4/7/2017,80,17,11,12,0,0
4/8/2017,92,20,13,13,0,0
4/9/2017,99,17,18,14,0,0
4/10/2017,128,15,28,13,0,0
4/11/2017,136,12,18,12,0,0
4/12/2017,110,12,55,14,0,0
4/13/2017,117,16,74,14,0,0
4/14/2017,129,8,38,11,0,0
4/15/2017,102,0,0,0,0,0
4/16/2017,77,20,68,12,0,0
4/17/2017,72,17,35,11,0,0
4/18/2017,81,21,50,13,0,0
4/19/2017,117,14,27,12,0,0
4/20/2017,106,16,21,12,0,0
4/21/2017,106,0,0,0,0,0
4/22/2017,50,0,0,0,0,0
4/23/2017,111,0,0,0,0,0
4/24/2017,114,18,24,12,0,0
4/25/2017,92,13,25,13,0,0
4/26/2017,113,17,19,13,0,0
4/27/2017,82,21,29,14,0,0
4/28/2017,0,20,30,14,0,0
4/29/2017,0,16,22,12,0,0
4/30/2017,0,12,16,11,0,0
5/1/2017,0,8,15,11,0,0
5/2/2017,0,9,17,12,0,0
5/3/2017,106,15,21,12,0,0
5/4/2017,105,9,26,12,0,0
5/5/2017,94,13,24,12,0,0
5/6/2017,110,11,20,12,0,0
5/7/2017,107,10,17,12,0,0
5/8/2017,85,10,20,12,0,0
5/9/2017,91,10,19,12,0,0
5/10/2017,77,8,13,11,0,0
5/11/2017,50,17,16,12,0,0
5/12/2017,55,10,25,12,0,0
5/13/2017,88,8,16,12,0,0
5/14/2017,57,11,16,12,0,0
5/15/2017,56,11,15,12,0,0
5/16/2017,78,0,0,0,0,0
5/17/2017,105,13,16,12,0,0
5/18/2017,96,12,13,11,0,0
5/19/2017,64,14,17,12,0,0
5/20/2017,68,17,18,12,0,0
5/21/2017,88,11,15,12,0,0
