date,pm25,aqi
11/30/2016,8,0
12/1/2016,7,0
12/2/2016,39,0
12/3/2016,61,0
12/4/2016,55,0
12/5/2016,50,0
12/6/2016,31,0
12/7/2016,46,0
12/8/2016,52,0
12/9/2016,82,0
12/10/2016,78,0
12/11/2016,63,0
12/12/2016,81,0
12/13/2016,83,0
12/14/2016,57,0
12/15/2016,59,0
12/16/2016,38,0
12/17/2016,47,0
12/18/2016,59,0
12/19/2016,50,0
12/20/2016,53,0
12/21/2016,56,0
12/22/2016,54,0
12/23/2016,54,0
12/24/2016,55,0
12/25/2016,53,0
12/26/2016,58,0
12/27/2016,74,0
12/28/2016,67,0
12/29/2016,56,0
12/30/2016,62,0
12/31/2016,87,0
1/2/2017,107,0
1/3/2017,89,0
1/4/2017,69,0
1/5/2017,64,0
1/6/2017,65,0
1/7/2017,61,0
1/8/2017,59,0
1/9/2017,64,0
1/10/2017,55,0
1/11/2017,57,0
1/12/2017,86,0
1/13/2017,105,0
1/14/2017,85,0
1/15/2017,101,0
1/16/2017,86,0
1/17/2017,76,0
1/18/2017,65,0
1/19/2017,52,0
1/20/2017,54,0
1/21/2017,56,0
1/22/2017,47,0
1/23/2017,52,0
1/24/2017,42,0
1/25/2017,37,0
1/26/2017,34,0
1/27/2017,34,0
1/28/2017,38,0
1/29/2017,38,0
1/30/2017,56,0
1/31/2017,54,0
2/1/2017,60,0
2/2/2017,51,0
2/3/2017,56,0
2/4/2017,48,0
2/5/2017,61,0
2/6/2017,51,0
2/7/2017,66,0
2/8/2017,67,0
2/9/2017,67,0
2/10/2017,76,0
2/11/2017,77,0
2/12/2017,74,0
2/13/2017,89,0
2/14/2017,80,0
2/15/2017,80,0
2/16/2017,68,0
2/17/2017,90,0
2/18/2017,77,0
2/19/2017,92,0
2/20/2017,76,0
2/21/2017,88,0
2/22/2017,70,0
2/23/2017,81,0
2/24/2017,62,0
2/25/2017,74,0
2/26/2017,61,0
2/27/2017,64,0
2/28/2017,67,0
3/1/2017,87,0
3/2/2017,70,0
3/3/2017,64,0
3/4/2017,51,0
3/5/2017,62,0
3/6/2017,65,0
3/7/2017,117,0
3/8/2017,86,0
3/9/2017,100,0
3/10/2017,64,0
3/11/2017,63,0
3/12/2017,67,0
3/13/2017,62,0
3/14/2017,72,0
3/15/2017,85,0
3/16/2017,94,0
3/17/2017,51,0
3/18/2017,45,0
3/19/2017,59,0
3/20/2017,108,0
3/21/2017,80,0
3/22/2017,76,0
3/23/2017,91,0
3/24/2017,108,0
3/25/2017,110,0
3/26/2017,127,0
3/27/2017,91,0
3/28/2017,92,0
3/29/2017,111,0
3/30/2017,99,0
3/31/2017,100,0
4/1/2017,107,0
4/2/2017,98,0
4/3/2017,122,0
4/4/2017,117,0
4/5/2017,142,0
4/6/2017,122,0
4/7/2017,121,0
4/8/2017,111,0
4/9/2017,89,0
4/10/2017,90,0
4/11/2017,79,0
4/12/2017,62,0
4/13/2017,66,0
4/14/2017,53,0
4/15/2017,50,0
4/16/2017,52,0
4/17/2017,58,0
4/18/2017,62,0
4/19/2017,70,0
4/20/2017,78,0
4/21/2017,103,0
4/22/2017,110,0
4/23/2017,100,0
4/24/2017,85,0
4/25/2017,83,0
4/26/2017,92,0
4/27/2017,89,0
5/3/2017,114,0
5/4/2017,101,0
5/5/2017,101,0
5/6/2017,85,0
